sample no_occurences quality_scores
total_map_quality.txt X106N 11042
total_map_quality.txt X106N 655447
total_map_quality.txt X106N 39588
total_map_quality.txt X106N 65052
total_map_quality.txt X106N 22842
total_map_quality.txt X106N 40859
total_map_quality.txt X106N 85218
total_map_quality.txt X106N 8667
total_map_quality.txt X106N 143679
total_map_quality.txt X106N 11597
total_map_quality.txt X106N 18795
total_map_quality.txt X106N 18641
total_map_quality.txt X106N 100105181
total_map_quality.txt X106N 26582
total_map_quality.txt X106N 13205
total_map_quality.txt X106N 52582
total_map_quality.txt X106T 5117851
total_map_quality.txt X106T 21212
total_map_quality.txt X106T 28217
total_map_quality.txt X106T 9115
total_map_quality.txt X106T 19158
total_map_quality.txt X106T 24788
total_map_quality.txt X106T 8352
total_map_quality.txt X106T 46180
total_map_quality.txt X106T 13675
total_map_quality.txt X106T 19478
total_map_quality.txt X106T 21720
total_map_quality.txt X106T 34691
total_map_quality.txt X106T 5848
total_map_quality.txt X106T 49848
total_map_quality.txt X106T 67298
total_map_quality.txt X106T 87251
total_map_quality.txt X106T 79490
total_map_quality.txt X106T 146477
total_map_quality.txt X106T 278195
total_map_quality.txt X106T 9013
total_map_quality.txt X106T 861947
total_map_quality.txt X106T 5851
total_map_quality.txt X106T 5563
total_map_quality.txt X106T 45477
total_map_quality.txt X106T 15445
total_map_quality.txt X106T 17712
total_map_quality.txt X106T 3057
total_map_quality.txt X106T 48626
total_map_quality.txt X106T 6380
total_map_quality.txt X106T 6750
total_map_quality.txt X106T 14424
total_map_quality.txt X106T 23154
total_map_quality.txt X106T 5600
total_map_quality.txt X106T 62225
total_map_quality.txt X106T 10198
total_map_quality.txt X106T 999553
total_map_quality.txt X106T 13235
total_map_quality.txt X106T 45015
total_map_quality.txt X106T 34830
total_map_quality.txt X106T 30973
total_map_quality.txt X106T 98413
total_map_quality.txt X106T 52178
total_map_quality.txt X106T 128398
total_map_quality.txt X106T 171166
total_map_quality.txt X106T 165668
total_map_quality.txt X106T 11010
total_map_quality.txt X106T 722917
total_map_quality.txt X106T 35321
total_map_quality.txt X106T 71457
total_map_quality.txt X106T 23076
total_map_quality.txt X106T 35638
total_map_quality.txt X106T 91358
total_map_quality.txt X106T 7494
total_map_quality.txt X106T 145888
