"1p"	"1q"	"2p"	"2q"	"3p"	"3q"	"4p"	"4q"	"5p"	"5q"	"6p"	"6q"	"7p"	"7q"	"8p"	"8q"	"9p"	"9q"	"10p"	"10q"	"11p"	"11q"	"12p"	"12q"	"13q"	"14q"	"15q"	"16p"	"16q"	"17p"	"17q"	"18p"	"18q"	"19p"	"19q"	"20p"	"20q"	"21q"	"22q"	"Xp"	"Xq"
"TCGA.04.1651.01"	0	0	0	0	0	-0.943	-0.963	0	0	0	-0.846	-0.846	0	0.338	0	0	0	0	0	0	0	0	0.709	0	-0.926	0	0	0	-0.872	-0.906	-0.906	-0.683	-0.945	0	0	1.281	0	0	-0.948	-0.305	-0.305
"TCGA.04.1652.01"	0	0	0	0.292	0	0	-0.611	-0.611	0	0	0	-0.291	0.408	0.408	-1.272	0.448	-0.503	0	0	0.335	0	0.55	0.637	0.637	-0.544	0	0	-0.503	-0.503	-0.613	-0.613	0.608	-0.095	0.893	0.893	0	0.816	0	-0.677	-0.521	0
"TCGA.04.1654.01"	0	0	0	0	0	0	-0.968	-0.968	1.773	0	0	0	0	0	-0.979	0.86	0	0	0.941	0	-0.973	0	-0.964	0	0	0	0	0	-0.93	-0.853	-0.853	0	0	-0.857	-0.857	0	0	-0.957	0	-0.358	0.096
"TCGA.04.1655.01"	0.897	0.897	0.917	0.917	1.034	1.034	-0.715	-0.715	0	0	0	-0.851	0	0.464	0	-0.335	-0.642	-0.642	0.344	0.344	0	0	1.261	0.637	-0.353	-0.814	-0.647	0.368	-0.023	-0.606	-0.606	0	0	0	-0.546	0.902	0.902	-0.299	-1.074	-0.196	0.634
"TCGA.09.0364.01"	0	0	1.071	0	0.599	0.599	0	-0.551	-0.597	-0.597	0.612	0.029	0	0	0	0	-0.593	-0.593	-0.611	-0.611	0	0	0.898	0	1.042	0.519	0	0.439	0.439	-0.611	-0.611	0	-0.596	0	0.536	0	0.696	0	-0.602	0	0
"TCGA.09.0365.01"	0	1.21	0.58	0.58	-0.528	0.605	-0.485	0	-0.493	-0.493	-0.959	-0.959	0.407	0.407	0.433	0.433	-0.953	-0.496	0.526	0.526	0	0	0.929	0.929	0	0	-0.528	0.291	0	-0.505	-0.505	0	0	0	0.728	0	0	0.385	-0.992	0	0
"TCGA.09.0366.01"	0.591	0	0	0	0	0.63	0	-0.526	0.05	-0.646	0.594	0	0	0	-0.637	-0.637	0	0	-0.602	-0.602	-1.28	-1.28	0.635	0.635	-0.51	0	0	0	-0.615	-0.627	-0.627	0	0	-0.597	-0.597	0.316	0	0	-0.542	0.503	0
"TCGA.09.0367.01"	0	0	-0.344	0.171	0	0	-0.436	-0.436	0.786	0	0	-0.575	1.26	0	-0.932	2.069	-0.583	-0.583	1.737	0	0	1.101	0.604	0.604	-0.252	0	0	-0.385	-0.768	-0.623	-0.623	0	0	0	0	0.396	0.396	0	-0.634	-0.602	-0.602
"TCGA.09.0369.01"	0.61	0.61	0.74	0.3	-0.3	0	0.249	-0.264	0.271	0.016	0	0	0.45	0	1.893	1.893	-0.294	-0.294	0.515	0	0	0	1.186	0.536	0.46	-0.297	0.319	0.428	0.428	0.068	0.403	0.462	0.462	0.064	0.391	1.15	0.471	-0.303	-0.425	0	0
"TCGA.09.1659.01"	0.426	0.426	0	0	-0.804	0.376	-0.408	-0.408	0.525	0	-0.126	-0.432	-0.414	-0.414	0.667	0.667	-0.972	-0.972	0	0	-0.335	0.254	0.135	-0.266	-0.352	-0.408	-0.276	-0.465	-0.465	-0.373	0.038	0	0	0.139	-0.341	0.882	0.531	-0.375	-0.31	-0.337	-0.337
"TCGA.09.1661.01"	0	0.826	0.701	1.117	0	0	-0.953	-0.545	0.797	-0.213	0	-0.765	0.686	0.686	-0.509	0	-0.974	-0.974	0.601	0.601	-0.036	1.329	2.548	-0.437	-1.293	-0.4	-0.424	0	-0.918	0	0	0	0.454	-0.506	0	1.183	1.183	-0.343	-0.904	-1.293	-1.293
"TCGA.09.1662.01"	0	0	0	0	0	0	-0.963	-0.963	0.577	0	0.891	-0.05	0	0	-0.991	0	-0.971	0	0	0	0	0	0	0	0	0	0	0	-0.966	-0.952	-0.922	0	0	0	0	0	0	-0.965	-0.955	0	0
"TCGA.09.1664.01"	0	0	0	0	0	0	0	-1.001	0	0	0	0	0	0	-0.973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.927	-0.927	0	0	0	-0.902	0	0	0	-0.942	0	0
"TCGA.09.1665.01"	0	0	0	0	0.841	0.841	0	0	0	0	0.75	0.75	0.698	0.698	0.748	0.748	-1.007	0	0	0	0	0	0	0	0	0	0	-0.995	-0.995	0	0.752	0.741	0.741	0.812	0	0.78	0.78	0	0	0	0
"TCGA.09.1666.01"	0	0	0	0	0	0	0	-0.946	-0.707	-0.707	0	-0.961	-0.982	0	-0.903	0	0	0	0	0	-0.996	-0.996	0	0	-0.966	-0.984	0	-0.971	-0.971	-0.922	-0.922	-0.781	0	0	0	0	0	0	-0.913	-0.555	-0.555
"TCGA.09.1667.01"	0	0	0	0	-0.35	0	-0.348	-0.348	0	0	0.411	0.411	0	0	0.234	0.868	-0.332	-0.854	0.262	-0.332	-0.855	0	-0.276	-0.276	-0.881	0	-0.601	-0.8	-0.8	-0.848	-0.451	-0.844	-0.844	1.235	-0.826	-0.286	-0.286	0.522	-0.784	-0.448	-0.448
"TCGA.09.1668.01"	0	0.498	0	0	0.577	1.631	-0.78	-0.161	0	0	0.407	-0.364	0	0	-0.362	1.094	0.551	0.551	0.419	-0.327	0	0.824	0.481	-0.28	-0.659	0.266	-0.751	-0.53	-0.53	-0.694	0.238	0.333	0.333	-0.095	-0.095	0.407	0.407	0	-0.623	0	0
"TCGA.09.1669.01"	-0.334	0	0	0	0	0.889	-0.966	-0.966	-0.992	-0.992	0.859	0.859	-0.989	0	-1.019	0	-0.082	-0.931	0	0	0	0	0	0	0	0.452	-0.953	-0.415	-0.415	-0.9	-0.412	0	-0.975	0	0	0	0.481	-0.936	-0.898	-0.523	0
"TCGA.09.1670.01"	0.897	0.897	0.265	0.265	-0.464	0.282	-0.782	-0.782	0.437	-0.391	-0.762	-0.762	0.427	0.427	-0.212	0.863	-0.788	-0.788	0.5	0.5	0	0	0.423	0.423	-0.794	-0.265	-0.775	-0.736	-0.736	-0.77	-0.77	0	0	0.84	0.317	0.437	0.437	0.882	-0.786	0	0
"TCGA.09.1672.01"	-0.706	-0.016	0.506	0.506	0.628	0.628	0	0	0	0	-0.744	-0.744	0.65	0.65	0.596	0.596	0	0	0.667	0.667	0	0	0.677	0.677	0	-0.733	0	1.255	1.255	-0.66	-0.66	-0.742	-0.742	-0.59	-0.59	0	0	0	0	0	0
"TCGA.09.1673.01"	0	0	-0.457	-0.457	0	0	0	-0.987	0	0	0	0	0	0	0	0	-0.45	-0.45	0.746	0	0	0	0	0	-0.413	-0.979	0	-0.417	-0.417	-0.945	-0.945	-0.463	-0.463	-0.377	-0.912	0	0	0	-0.974	-0.292	-0.292
"TCGA.09.1674.01"	0	1.119	1.215	1.215	0.41	0.41	0	-0.633	1.115	0	0.647	0.647	1.103	1.103	-0.357	0.269	0	-0.655	0.638	0.638	-0.653	0	1.839	0	-0.73	0.606	-0.723	0	-0.631	0	0	0	0	0.598	0.598	1.518	1.968	0	-0.725	0	0
"TCGA.09.1675.01"	0	0	0	0	0	0	0	0	0.938	0	-1.009	-1.009	0	0	-1.026	0	-0.999	-0.999	-0.979	0	0	0	0	-1.008	0	0	0	-0.99	-0.99	-0.962	-0.962	0	-1.019	0	-0.903	0	0	-0.997	-0.963	-0.347	-0.347
"TCGA.09.2043.01"	0	0	0.805	0.805	0.774	0.774	-0.986	-0.986	1.054	-0.942	0	0	1.643	1.643	0.667	1.511	0	-0.961	-0.365	-0.365	0.784	0	1.573	0	0	0	0	-0.965	-0.965	0	0	0	-0.431	0.809	0.809	0.843	0	0.52	0	0.349	1.143
"TCGA.09.2044.01"	0	0	0	0	0	0.751	-0.916	-0.916	1.048	-0.944	-0.913	-0.913	0	0	0	0	-0.881	-0.881	0.896	0	-0.867	-0.867	-0.923	-0.923	-0.945	0	0	-0.93	-0.93	-0.913	-0.913	-0.922	-0.922	0	0	0.89	0	0	-0.884	-0.319	-0.319
