chr1p	chr1q	chr2p	chr2q	chr3p	chr3q	chr4p	chr4q	chr5p	chr5q	chr6p	chr6q	chr7p	chr7q	chr8p	chr8q	chr9p	chr9q	chr10p	chr10q	chr11p	chr11q	chr12p	chr12q	chr13q	chr14q	chr15q	chr16p	chr16q	chr17p	chr17q	chr18p	chr18q	chr19p	chr19q	chr20p	chr20q	chr21p	chr21q	chr22p	chr22q	chrXp	chrXq
X1922	0	0.582	0.281	0.281	1.363	1.363	-0.335	-0.335	1.136	0	2.22	0	-0.304	-0.304	-0.659	0.873	-0.306	-0.306	0.767	0.379	0	0	0	0	0.261	0	-0.289	-0.29	-0.29	0	0	0.65	0.65	0.279	0.279	0.961	0.561	0.37	0.37	0.277	0	-0.797	-0.797
X1928	0	0	0	0	0	0	0	0	-0.732	-0.732	0	-0.744	0.836	0.836	1.401	2.112	0.543	0	0	0	0	0	-0.67	-0.67	-0.753	0	0	-0.701	-0.701	-0.703	-0.703	0	0	0	0	0	0	0	0	-0.705	-0.705	0	0
X1979	0.34	0.34	0.3	0.3	0.407	0.407	-0.302	-0.302	-0.034	-0.29	0.69	-0.669	-0.312	0	0.269	0.582	0.021	-0.325	-0.324	-0.324	-0.269	-0.269	0.282	0.282	0	0	-0.286	-0.306	-0.306	-0.291	0	-0.328	-0.328	0	0	0.341	0.341	0.65	0.65	-0.3	0	0	0
X2090	0	0	0.495	0.495	0.853	0.853	0	0	0	0	0	0	-0.612	0	0	1.394	-0.291	-0.291	0.639	0	0	0	0.505	0.505	0	0	0	0.532	-0.607	-0.312	1.135	0	0	-0.302	0	0.514	1.143	0	0	-0.265	-0.265	-0.575	0
X2120	0.382	0.382	0.334	0.334	0.444	0.444	0	0	0.38	0.38	0.48	0	0.265	0.265	1.955	2.637	0.314	-0.673	0	0	0	0.927	0.442	0	0	0	-0.696	0	-0.705	1.513	-0.694	-0.714	-0.714	1.757	1.197	0.45	0.45	0.09	0.349	-0.717	-0.717	0	0
X2152	0	0	0.661	0	0.406	0.406	0	0	0.568	0.568	0	0	0	0.338	0.531	0.531	-0.392	-0.392	0.954	0	-0.392	-0.012	0.648	-0.433	0	-0.416	-0.522	0	-0.457	-0.273	0	-0.426	-0.426	-0.477	-0.477	0	0	-0.01	-0.451	0	0	0	0
X2176	-0.279	0	0.563	0	0	0	-0.277	-0.277	0	0	0	0	-0.307	-0.307	-0.26	0	-0.272	-0.272	0	0	0	0	0	0	-0.296	-0.286	-0.274	0	0	-0.275	0.262	0	0	0	0	0	0	0	0	-0.281	-0.281	0	0
X2212	0	0	0.605	0.605	0	1.321	0	0	1.479	0	0	0	0	0	-0.852	1.279	-0.849	0	1.502	0	0	0.749	0	0	1.331	0.258	0	0	0	0	0	1.255	-0.901	0.838	0	0	0	0	0	0	0	-0.495	0
X2316	0	0	0	0	-0.273	0.63	0	0	-0.297	-0.297	-0.293	-0.293	0	0.473	0	0	0	0	0	0	0	0	-0.272	-0.272	-0.307	-0.318	0	-0.305	-0.305	-0.281	-0.281	-0.282	-0.282	0	0	0	0	-0.307	-0.307	-0.545	0	-0.295	-0.295
X2354	0	0.439	0	0	0	0	0	0	0.306	0	0.441	-0.312	0	0	-0.291	0.34	0	0	0	0	0.29	0.29	0	0	0	0	0	-0.331	-0.331	-0.311	-0.311	-0.606	-0.606	-0.264	-0.264	0	0	0.454	0	0	0	-0.287	0
X2357	0.256	0.256	0	0	-0.321	0	-0.33	-0.33	0	0	0	0	0	0	0.245	0.927	-0.667	-0.349	0	0	0	0.355	0.394	0	0.301	0	0	0.276	0.276	-0.352	-0.352	0.261	-0.587	-0.346	-0.346	0.394	0.394	0.339	0.339	-0.283	-0.283	-0.663	-0.361
X2360	0	0	0	0	-0.612	1.84	-0.9	-0.9	0	0	0.716	0	0	0	0.16	1.041	-0.893	-0.893	0.858	0.858	-0.899	0	-0.874	-0.874	-0.902	-0.895	0	0	0	-0.874	-0.874	-0.138	-0.844	0	0	0	0	-0.438	0	-0.863	-0.863	0	0
X2362	0	0	0	0	0.483	0.483	0	0	0	0	1.105	0.738	0.477	0.477	-0.797	0.387	0.36	-0.232	0	0	0.913	0.52	0.473	0	-1.021	-0.64	0	0	-1.225	-0.707	-0.707	0.482	0.482	-0.717	-0.717	1.202	1.202	-0.276	-0.276	0.163	0.163	-0.451	0
X2374	0	0	0	0	0	0.614	-0.258	-0.258	0	0	0.312	0.312	0.348	0.348	0.326	0.326	-0.515	-0.515	0	0	0	0	1.124	0	0	0	0	-0.31	-0.31	-0.307	-0.307	-0.482	-0.482	0	0	0.286	0.286	0	0	0	0	-0.497	-0.497
X23	0	0	0	0	0	0	-0.621	-0.621	0.273	0	0.309	-0.3	0	0.375	0.705	0.705	-0.377	-0.377	-0.571	-0.571	0	0	0	0	0	0	0	0	-1.081	-0.603	-0.603	0	-0.324	-0.351	-0.351	0.5	0.5	-0.296	0	-0.535	-0.535	-0.012	-0.273
X2401	-0.418	-0.418	0	0	0	0	-0.492	-0.492	-0.113	-0.469	0	-0.431	0	0	-0.442	-0.442	0	0	-0.358	0	0	0	0	0	0	-0.412	-0.385	0	0	0	0	0	0	0.519	0.519	0	0	0	0	-0.278	-0.278	0	0
X2412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.367	0	0	0	0	0	0	0	0	0	-0.4	-0.411	0	0	0	-0.448	-0.448	-0.442	-0.442	0	0	0	0	-0.456	-0.456	-0.446	-0.446	0	0
X2415	0	0	0	0	0	0	-0.57	-0.57	0	0	-0.596	-0.596	0	0	0	0	-0.511	-0.511	0	0	0	0	0.26	0.26	0	-0.545	0	0	-0.522	-0.456	-0.456	0	0	0.463	-0.431	0	0	-0.593	-0.593	-0.515	-0.515	-0.562	-0.562
X2429	0	0.718	0.681	0.681	-0.351	0	-0.447	-0.447	-0.452	-0.452	1.071	0	0	0	-0.432	0	-0.127	-0.461	0	-0.884	-0.452	-0.452	1.042	0	-0.453	-0.354	-1.046	0.922	-0.441	0	0	0.456	0	0.413	-0.989	0	0	0	0	-0.391	-0.391	-1.062	-1.062
X2438	0	0	0	0	0.507	0	-0.78	-0.78	0	0	0	0	0	0	-0.787	0	-0.787	-0.787	0	0	0	0	0	0	0	0	-0.789	0	0	-0.746	-0.746	0	0	0	0.551	0	0	0	0	-0.777	-0.777	-0.794	-0.794
X2443	0	0.466	0.5	0.5	0.316	0.316	-0.181	-0.654	-0.31	-0.31	0.364	-0.279	-0.397	-0.397	-0.615	-0.615	0	0	-0.596	-0.596	0	0	0	0	0.4	-0.88	0	-0.333	0	-0.626	0.361	0	0	-0.268	-0.268	0	0.699	1.503	1.503	0	0	0	-0.983
X2503	0.469	0.469	0.324	0.324	0	0.29	0	0	0	0	0	0	0.253	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0.472	0	-0.504	0.976	0	0	0	0	0	0	0	0	0	0	-0.435	-0.435
X2529	0.462	0.462	0.27	0	0.482	0.482	0	0	-0.503	-0.503	0.286	0	0.745	0.745	-1.009	0.526	-0.512	-0.512	0.001	-0.471	-0.485	0.522	0.388	0	0	-0.373	0	0	0	-0.522	-0.522	0	0	1.127	0.784	0.895	0.895	0.503	0.503	-0.431	0	0	0.298
X2554	0.374	0.374	0.423	0	0	0	0	0	-0.026	-0.534	0	0	0.427	0.427	0.593	0.593	0.431	-0.342	0.343	0	0	0	0	0	-0.289	0	0	0	0	0.648	-0.643	0	0	0	-0.428	0	0	0	0	-0.644	-0.644	-0.284	-0.269
X2556	0.801	0.801	0.378	0	0	1.191	1.276	0	0.457	0	-0.356	-0.356	-0.061	0.337	-0.363	0.47	-0.428	-0.428	-0.022	0.417	-0.404	-0.404	1.035	0.427	-0.355	0	-0.447	-0.467	-0.467	-0.472	-0.472	0	0	-0.537	-0.537	0.608	0.608	-0.427	-0.427	-0.38	-0.38	-0.403	-0.403
X2577	0	0	0	0	0	0.683	0	0	0	0	0	0	0	0	-0.014	0.275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.398	-0.398
X2587	0	0	0	0	0	0.313	0	0	0	0	0	0	0	0	0	0.267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.419	-0.419
X2593	0	0	0	0	0	0.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294	-0.262	0	0	-0.407	0	0	0	-0.376	-0.376	0	0.64	0.266	0.266	-0.319	-0.319	-0.594	0
X2638	-0.623	0.612	1.177	0	0.651	0.651	0	0	-0.633	-0.633	0.375	0	0	0	0	-0.633	-0.51	0	0	0	0	0	0.626	0.626	-1.293	0.581	-0.628	0	-0.618	-0.664	-0.664	-0.646	-0.646	0	-0.721	0.537	0.537	-0.664	-0.664	-1.293	-1.293	0	0
X2648	0	0	0.548	0.548	0	0	0	0	0.345	0	0	0	0	0	-0.288	0	0	0	0.521	0	0	0	0	0	0	0	0	0	0	-0.429	0.616	0.532	0.145	0.41	0.41	0	0	0	0	0	0	0	0
X2665	0	0	0	0	0	0	-0.726	-0.726	0	0	-0.31	0	0	0	0.705	0.705	0	0.832	-0.69	-0.69	0	0	0	0	-0.674	0	0	0	-0.432	-0.599	0	0	0	1.026	-0.588	0	0.919	0	0	-0.542	-0.542	-0.768	-0.768
X2700	0	0	0	0	0	0	-0.463	-0.463	0	0	-0.496	-0.496	0.494	0.494	-0.529	0	0.345	0.345	-0.505	0	-0.513	0	-0.481	-0.481	0	0	0	0	0	-0.522	-0.522	0	0	0	0	0.929	0	-0.806	0	0	0	0	0
X2704	0	0	0	0	0.25	0.25	0	0	0	0	0	0	0	0	0.566	0.566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
X2716	0.455	-0.478	0	0	-0.401	0.946	-0.467	-0.467	0	0	0	0	0.379	1.456	1.016	1.533	0.499	0.499	0.468	0.468	-0.495	0.66	0.501	0.501	-0.46	0.461	-0.394	-0.469	-0.469	-0.509	0	0	-0.372	0.411	0	0	0	0	0	-0.494	-0.494	-0.468	0
X2763	0	0	0	0	0	0	0	-0.54	0	0	0	-0.601	0	0	-0.563	-0.563	-0.655	-0.655	0	0	0	0	0	0	-0.545	-0.625	0	-0.645	-0.645	-0.715	-0.715	-0.186	-0.624	-0.282	-0.282	0.527	0	0	0	-0.705	-0.705	-0.602	-0.602
X2773	0	0.457	0.312	0.312	0	0.264	0	0	0	0	0	0	0	0	0.495	0.495	0	0	0.251	0	0	0	0.606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.265	-0.265	0	0
X2797	0.589	0.589	0.876	0	0.412	0.689	-0.275	-0.275	0	-0.287	0.768	0.768	0	0	-0.38	0	0.087	-0.302	0.182	-0.329	-0.299	-0.299	-0.284	-0.284	0	-0.324	-0.327	0	-0.373	-0.398	0	-0.34	-0.34	0	-0.513	0.593	0.593	-0.883	-0.883	-0.256	0	-0.337	-0.337
X2816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.291	0	0	0	0	0	0.319	0	0	0	0	0	0	0	0	0	-0.034	-0.336	0	0	0	0	0	0	0	0	-0.36	-0.36
X2825	0	0.647	-0.364	-0.364	0	0	0	0	-0.389	0	-0.91	-0.91	0.366	0.366	-0.407	-0.407	-0.377	-0.377	0	0	-0.372	-0.372	0	0	0	0	-0.369	0	-0.557	-0.303	0.552	-0.286	-0.286	0	-0.37	0.55	0.55	0	0	-0.342	-0.342	-0.532	-0.532
