Chromosome Arm	MDL15-1352	MDL15-2291	MDL16-2187	MDL16-2366	MDL16-2565	MDL16-2571	MDL16-3157	MDL16-3467	MDL16-3681	MDL16-372	MDL16-3785	MDL16-4031	MDL16-4342	MDL16-4473	MDL16-4671	MDL16-4853	MDL16-5150	MDL16-5262	MDL17-137	MDL17-1665	MDL17-1897	MDL17-2054	MDL17-2071	MDL17-2084	MDL17-2385	MDL17-2416	MDL17-2508	MDL17-2917	MDL17-3055	MDL17-3392	MDL17-3439	MDL17-3683	MDL17-377	MDL17-379	MDL17-3883	MDL17-5117	MDL17-5120	MDL17-5335	MDL17-681	MDL17-682	MDL17-911	MDL18-1257	MDL18-1935	MDL18-2281	MDL18-2288	MDL18-2673	MDL18-3105	MDL18-337	MDL18-339	MDL18-473	MDL18-604	MDL18-93
19p	0.000	-0.655	0.000	-0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.622	0.000	0.000	-0.457	-0.370	0.000	0.000	0.000	-0.491	-0.379	-0.437	0.000	0.000	0.000	-0.578	-0.617	-0.405	-0.552	-0.548	0.000	0.000	-0.349	0.000	-0.334	-0.957	0.000	-0.368	0.000	-0.376	0.000	0.000	0.000	0.000	-0.340	-0.273	-0.325	0.000	-0.359	0.000	0.000	0.000
19q	0.000	-0.655	0.000	-0.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.622	0.000	0.000	-0.457	0.000	0.000	0.000	0.000	0.000	0.000	-0.437	0.000	0.000	0.000	-0.578	-0.617	-0.405	0.000	0.338	0.000	0.000	0.000	0.000	-0.334	0.297	0.000	-0.368	0.000	-0.376	0.000	0.000	0.000	0.000	0.000	0.667	-0.325	0.000	0.000	0.000	0.000	0.000
20p	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.000	0.494	0.000	-0.539	0.000	0.000	0.299	0.299	0.279	0.341	0.000	0.332	0.000	0.000	0.000	0.000	0.866	0.000	0.019	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.431	-0.339	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.815	0.000	0.000	0.000	0.000	0.000	0.292	0.000
20q	0.000	0.000	0.000	0.000	0.000	0.429	0.000	0.000	0.000	0.494	0.000	0.000	0.000	0.000	0.000	0.299	0.279	0.341	0.000	0.332	0.000	0.000	0.000	0.000	0.866	0.000	0.388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.671	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.815	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21p	0.000	-0.327	-0.697	-1.010	-0.780	-0.493	-0.931	-0.579	-1.293	0.567	0.000	-0.795	0.000	-0.543	-0.204	-0.374	-0.677	-0.571	-0.523	-0.518	-1.090	0.000	0.000	-1.088	-0.286	-0.054	-0.286	-0.665	-0.724	-0.453	-0.270	-0.489	-0.454	-0.454	-0.541	-0.533	-0.530	-0.764	-0.574	-0.470	0.000	-0.912	-0.457	-0.592	-0.572	-0.512	-0.303	-0.369	-1.248	-0.345	-0.584	-0.272
21q	0.000	0.000	0.000	0.000	0.000	0.434	0.000	0.000	0.000	0.567	0.000	-0.288	0.000	0.000	0.413	-0.374	0.616	0.000	0.000	-0.518	-0.365	0.000	0.000	0.000	0.000	0.315	0.439	0.000	0.000	0.000	0.000	0.000	0.000	0.490	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.298	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22p	-0.265	-0.358	0.000	0.000	0.000	0.000	-0.556	-0.436	0.087	0.000	0.000	-0.644	-0.252	-0.520	-0.335	-0.286	-0.586	0.000	-0.317	-0.618	-0.376	-0.429	0.000	-0.392	-0.586	-0.419	-0.767	-0.475	-0.311	0.000	-0.318	-0.779	-0.299	0.000	0.000	-0.314	-0.527	-0.349	-0.381	-0.411	-0.543	0.000	0.000	-0.763	-0.485	-0.558	-0.425	-0.636	-0.358	0.000	-0.268	-0.329
22q	-0.265	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.574	0.000	0.000	-0.644	0.000	0.000	0.000	0.000	-0.318	0.000	0.000	-0.296	-0.376	-0.429	0.000	0.000	-0.586	-0.419	-0.255	-0.475	0.000	0.000	-0.318	-0.366	-0.299	0.000	0.000	-0.314	0.000	-0.349	0.000	-0.411	-0.289	0.000	0.000	-0.290	-0.485	-0.558	-0.425	-0.283	-0.358	0.000	0.000	0.000
Xp	-0.951	-0.831	0.000	-1.096	-0.302	-0.175	-1.027	0.000	-0.780	0.000	-0.911	-0.894	-0.942	0.000	-0.405	0.000	-0.788	-1.067	-0.882	-1.060	-0.945	0.000	0.000	-0.986	-0.666	-0.965	-1.104	-0.979	-0.627	-0.927	0.000	0.000	-0.939	0.476	0.000	-0.886	-0.824	-0.634	-0.315	-0.507	-1.094	0.000	-0.937	-0.283	-1.061	-1.165	-0.845	0.000	-1.035	0.000	-0.944	-0.365
Xq	-0.951	-0.831	0.000	-0.792	-0.302	0.426	-1.027	0.000	-0.780	0.000	-0.911	-0.282	-0.942	0.000	-0.405	0.000	-0.788	-1.067	-0.882	-1.060	-0.945	0.000	0.000	-0.986	-0.666	-0.965	-0.800	-0.979	-0.627	-0.927	0.000	0.000	-0.939	0.476	0.000	0.000	-0.824	-0.634	-0.315	0.000	-0.813	0.000	-0.937	-0.283	-0.788	-0.856	-0.845	0.000	-1.035	0.000	-0.944	-0.365
